[val split] es=65,912 (early-stop+calib)  sel=43,942 (held-out selection)
[val_sel pops] cold(==0)=16,967 seen(>=1)=26,975
[ 61]   1725s score= 13.41  cold25=13.41 seen25=40.25 all25=29.89 all_rmsle=1.307 | obj=huber cal=iso_segmult nl=63 grp=2 | BEST cold25=15.62
[ 62]   1758s score= 13.50  cold25=13.50 seen25=37.38 all25=28.16 all_rmsle=1.250 | obj=l2 cal=none nl=63 grp=2 | BEST cold25=15.62
[ 63]   1779s score= 12.97  cold25=12.97 seen25=35.62 all25=26.87 all_rmsle=1.280 | obj=huber cal=none nl=255 grp=1 | BEST cold25=15.62
[ 64]   1788s score= 13.36  cold25=13.36 seen25=37.96 all25=28.46 all_rmsle=1.390 | obj=l2 cal=segmult nl=31 grp=2 | BEST cold25=15.62
[ 65]   1823s score= 14.13  cold25=14.13 seen25=37.17 all25=28.28 all_rmsle=1.332 | obj=huber cal=iso_segmult nl=31 grp=1 | BEST cold25=15.62
[ 66]   1860s score= 13.26  cold25=13.26 seen25=40.03 all25=29.69 all_rmsle=1.281 | obj=l2 cal=iso_segmult nl=255 grp=2 | BEST cold25=15.62
[ 67]   1891s score= 12.75  cold25=12.75 seen25=41.57 all25=30.44 all_rmsle=1.385 | obj=quantile cal=iso_segmult nl=63 grp=3 | BEST cold25=15.62
[ 68]   1927s score= 13.87  cold25=13.87 seen25=36.12 all25=27.53 all_rmsle=1.231 | obj=huber cal=iso nl=255 grp=3 | BEST cold25=15.62
[ 69]   1950s score= 12.97  cold25=12.97 seen25=36.46 all25=27.39 all_rmsle=1.266 | obj=l2 cal=none nl=63 grp=2 | BEST cold25=15.62
[ 70]   2009s score= 13.93  cold25=13.93 seen25=41.20 all25=30.67 all_rmsle=1.293 | obj=quantile cal=iso_segmult nl=63 grp=2 | BEST cold25=15.62
[ 71]   2025s score= 13.59  cold25=13.59 seen25=38.72 all25=29.02 all_rmsle=1.281 | obj=l2 cal=iso nl=255 grp=3 | BEST cold25=15.62
[ 72]   2067s score= 12.35  cold25=12.35 seen25=38.90 all25=28.65 all_rmsle=1.297 | obj=quantile cal=iso nl=63 grp=2 | BEST cold25=15.62
[ 73]   2081s score= 11.68  cold25=11.68 seen25=40.03 all25=29.09 all_rmsle=1.327 | obj=l2 cal=iso_segmult nl=63 grp=1 | BEST cold25=15.62
[ 74]   2145s score= 13.08  cold25=13.08 seen25=40.56 all25=29.95 all_rmsle=1.354 | obj=quantile cal=iso_segmult nl=63 grp=3 | BEST cold25=15.62
[ 75]   2185s score= 12.98  cold25=12.98 seen25=39.56 all25=29.30 all_rmsle=1.273 | obj=huber cal=none nl=31 grp=3 | BEST cold25=15.62
[ 76]   2233s score= 13.01  cold25=13.01 seen25=44.95 all25=32.61 all_rmsle=1.289 | obj=huber cal=segmult nl=63 grp=2 | BEST cold25=15.62
[ 77]   2270s score= 13.13  cold25=13.13 seen25=35.33 all25=26.76 all_rmsle=1.264 | obj=huber cal=iso nl=255 grp=2 | BEST cold25=15.62
[ 78]   2311s score= 12.55  cold25=12.55 seen25=43.86 all25=31.77 all_rmsle=1.344 | obj=quantile cal=segmult nl=31 grp=1 | BEST cold25=15.62
[ 79]   2375s score= 14.54  cold25=14.54 seen25=34.16 all25=26.58 all_rmsle=1.224 | obj=huber cal=iso nl=255 grp=2 | BEST cold25=15.62
[ 80]   2418s score= 12.78  cold25=12.78 seen25=36.08 all25=27.08 all_rmsle=1.273 | obj=l2 cal=none nl=63 grp=3 | BEST cold25=15.62
[ 81]   2428s score= 11.55  cold25=11.55 seen25=37.76 all25=27.64 all_rmsle=1.311 | obj=huber cal=iso_segmult nl=127 grp=1 | BEST cold25=15.62
[ 82]   2456s score= 13.61  cold25=13.61 seen25=37.69 all25=28.40 all_rmsle=1.298 | obj=quantile cal=iso_segmult nl=255 grp=1 | BEST cold25=15.62
[ 83]   2471s score= 12.15  cold25=12.15 seen25=39.66 all25=29.04 all_rmsle=1.296 | obj=l2 cal=segmult nl=127 grp=1 | BEST cold25=15.62
[ 84]   2541s score= 14.48  cold25=14.48 seen25=48.55 all25=35.39 all_rmsle=1.258 | obj=quantile cal=segmult nl=255 grp=2 | BEST cold25=15.62
[ 85]   2586s score= 13.94  cold25=13.94 seen25=41.55 all25=30.89 all_rmsle=1.253 | obj=huber cal=none nl=127 grp=2 | BEST cold25=15.62
[ 86]   2631s score= 14.07  cold25=14.07 seen25=44.67 all25=32.86 all_rmsle=1.294 | obj=quantile cal=none nl=31 grp=3 | BEST cold25=15.62
[ 87]   2682s score=-86.77  cold25=13.23 seen25=32.54 all25=25.09 all_rmsle=1.265 | obj=huber cal=iso nl=127 grp=2 | BEST cold25=15.62
[ 88]   2750s score= 13.51  cold25=13.51 seen25=38.76 all25=29.01 all_rmsle=1.288 | obj=huber cal=none nl=255 grp=1 | BEST cold25=15.62
[ 89]   2784s score= 12.39  cold25=12.39 seen25=41.75 all25=30.42 all_rmsle=1.255 | obj=huber cal=iso_segmult nl=255 grp=1 | BEST cold25=15.62
