p_star_sorted,cdf
64.0,0.18427518427518427
64.0,0.18476658476658478
64.0,0.18525798525798526
64.0,0.18574938574938574
64.0,0.18624078624078624
64.0,0.18673218673218672
64.0,0.18722358722358723
65.0,0.1877149877149877
65.0,0.18820638820638821
65.0,0.1886977886977887
65.0,0.1891891891891892
65.0,0.18968058968058968
65.0,0.19017199017199019
65.0,0.19066339066339066
66.0,0.19115479115479114
66.0,0.19164619164619165
66.0,0.19213759213759213
66.0,0.19262899262899263
66.0,0.1931203931203931
67.0,0.19361179361179362
67.0,0.1941031941031941
67.0,0.1945945945945946
67.0,0.19508599508599508
67.0,0.1955773955773956
67.0,0.19606879606879607
68.0,0.19656019656019655
68.0,0.19705159705159705
68.0,0.19754299754299753
68.0,0.19803439803439804
68.0,0.19852579852579852
69.0,0.19901719901719903
69.0,0.1995085995085995
69.0,0.2
69.0,0.2004914004914005
70.0,0.200982800982801
70.0,0.20147420147420148
70.0,0.20196560196560195
70.0,0.20245700245700246
71.0,0.20294840294840294
71.0,0.20343980343980345
71.0,0.20393120393120392
71.0,0.20442260442260443
72.0,0.2049140049140049
72.0,0.20540540540540542
72.0,0.2058968058968059
72.0,0.20638820638820637
72.0,0.20687960687960688
73.0,0.20737100737100736
73.0,0.20786240786240787
73.0,0.20835380835380835
73.0,0.20884520884520885
73.0,0.20933660933660933
73.0,0.20982800982800984
74.0,0.21031941031941032
74.0,0.21081081081081082
74.0,0.2113022113022113
74.0,0.21179361179361178
74.0,0.2122850122850123
74.0,0.21277641277641277
75.0,0.21326781326781327
75.0,0.21375921375921375
75.0,0.21425061425061426
75.0,0.21474201474201474
75.0,0.21523341523341524
75.0,0.21572481572481572
76.0,0.21621621621621623
76.0,0.2167076167076167
76.0,0.21719901719901719
77.0,0.2176904176904177
77.0,0.21818181818181817
77.0,0.21867321867321868
77.0,0.21916461916461916
77.0,0.21965601965601966
78.0,0.22014742014742014
78.0,0.22063882063882065
78.0,0.22113022113022113
78.0,0.22162162162162163
79.0,0.2221130221130221
79.0,0.2226044226044226
79.0,0.2230958230958231
79.0,0.22358722358722358
80.0,0.22407862407862408
80.0,0.22457002457002456
80.0,0.22506142506142507
80.0,0.22555282555282555
81.0,0.22604422604422605
81.0,0.22653562653562653
81.0,0.22702702702702704
82.0,0.22751842751842752
82.0,0.228009828009828
82.0,0.2285012285012285
82.0,0.22899262899262898
83.0,0.2294840294840295
83.0,0.22997542997542997
83.0,0.23046683046683047
83.0,0.23095823095823095
84.0,0.23144963144963146
84.0,0.23194103194103194
84.0,0.23243243243243245
84.0,0.23292383292383292
85.0,0.2334152334152334
85.0,0.2339066339066339
85.0,0.2343980343980344
85.0,0.2348894348894349
86.0,0.23538083538083537
86.0,0.23587223587223588
86.0,0.23636363636363636
86.0,0.23685503685503687
87.0,0.23734643734643734
87.0,0.23783783783783785
87.0,0.23832923832923833
88.0,0.2388206388206388
88.0,0.23931203931203932
88.0,0.2398034398034398
89.0,0.2402948402948403
89.0,0.24078624078624078
89.0,0.24127764127764129
90.0,0.24176904176904176
90.0,0.24226044226044227
91.0,0.24275184275184275
91.0,0.24324324324324326
92.0,0.24373464373464374
92.0,0.24422604422604421
92.0,0.24471744471744472
93.0,0.2452088452088452
93.0,0.2457002457002457
93.0,0.24619164619164619
94.0,0.2466830466830467
94.0,0.24717444717444717
94.0,0.24766584766584768
94.0,0.24815724815724816
95.0,0.24864864864864866
95.0,0.24914004914004914
96.0,0.24963144963144962
96.0,0.2501228501228501
96.0,0.25061425061425063
97.0,0.2511056511056511
97.0,0.2515970515970516
98.0,0.2520884520884521
98.0,0.2525798525798526
99.0,0.25307125307125306
99.0,0.25356265356265356
100.0,0.25405405405405407
100.0,0.2545454545454545
101.0,0.255036855036855
102.0,0.25552825552825553
102.0,0.25601965601965604
103.0,0.2565110565110565
103.0,0.257002457002457
103.0,0.2574938574938575
104.0,0.257985257985258
104.0,0.25847665847665846
104.0,0.25896805896805897
105.0,0.2594594594594595
105.0,0.2599508599508599
105.0,0.26044226044226043
106.0,0.26093366093366094
106.0,0.26142506142506144
106.0,0.2619164619164619
107.0,0.2624078624078624
107.0,0.2628992628992629
108.0,0.2633906633906634
108.0,0.26388206388206387
109.0,0.2643734643734644
109.0,0.2648648648648649
110.0,0.26535626535626533
110.0,0.26584766584766584
111.0,0.26633906633906634
111.0,0.26683046683046685
112.0,0.2673218673218673
113.0,0.2678132678132678
113.0,0.2683046683046683
113.0,0.2687960687960688
114.0,0.26928746928746927
114.0,0.2697788697788698
114.0,0.2702702702702703
115.0,0.27076167076167074
115.0,0.27125307125307124
116.0,0.27174447174447175
116.0,0.27223587223587226
116.0,0.2727272727272727
117.0,0.2732186732186732
117.0,0.2737100737100737
118.0,0.2742014742014742
118.0,0.2746928746928747
119.0,0.2751842751842752
120.0,0.2756756756756757
120.0,0.27616707616707614
121.0,0.27665847665847665
121.0,0.27714987714987716
122.0,0.27764127764127766
122.0,0.2781326781326781
123.0,0.2786240786240786
123.0,0.2791154791154791
124.0,0.27960687960687963
124.0,0.2800982800982801
124.0,0.2805896805896806
124.0,0.2810810810810811
125.0,0.28157248157248155
125.0,0.28206388206388205
126.0,0.28255528255528256
126.0,0.28304668304668307
127.0,0.2835380835380835
128.0,0.284029484029484
128.0,0.28452088452088453
129.0,0.28501228501228504
130.0,0.2855036855036855
130.0,0.285995085995086
131.0,0.2864864864864865
131.0,0.28697788697788695
132.0,0.28746928746928746
133.0,0.28796068796068797
133.0,0.2884520884520885
134.0,0.2889434889434889
134.0,0.28943488943488943
135.0,0.28992628992628994
135.0,0.29041769041769044
136.0,0.2909090909090909
137.0,0.2914004914004914
137.0,0.2918918918918919
138.0,0.29238329238329236
138.0,0.29287469287469287
139.0,0.2933660933660934
139.0,0.2938574938574939
140.0,0.29434889434889433
141.0,0.29484029484029484
141.0,0.29533169533169534
142.0,0.29582309582309585
143.0,0.2963144963144963
143.0,0.2968058968058968
144.0,0.2972972972972973
144.0,0.29778869778869776
145.0,0.29828009828009827
145.0,0.2987714987714988
146.0,0.2992628992628993
146.0,0.29975429975429974
147.0,0.30024570024570024
147.0,0.30073710073710075
148.0,0.30122850122850126
149.0,0.3017199017199017
149.0,0.3022113022113022
150.0,0.3027027027027027
151.0,0.30319410319410317
